FlowNo,FirstSentTime,LastReceivedTime,FromIP,ToIP,SendToPort,ReceivedFromPort,SentFrameSize,ReceivedFrameSize,SentData,ReceivedData,Protocol,TransactionTime,HasSubFlow,isAbnormal
810,2019-3-8 16:17:2.635291,2019-3-8 16:17:2.671826,192.168.2.238,192.168.2.176,3610,3610,60,64,10:81:00:f6:0e:f0:01:02:87:01:62:01:d2:00,10:81:00:f6:02:87:01:0e:f0:01:72:01:d2:08:00:08:e6:5a:00:00:00:00,eth:ethertype:ip:udp:data,36.0,false,false
808,2019-3-8 16:17:2.635237,2019-3-8 16:17:2.706330,192.168.2.238,192.168.2.167,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,71.0,false,false
807,2019-3-8 16:17:2.635211,2019-3-8 16:17:2.712797,192.168.2.238,192.168.2.166,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,77.0,false,false
809,2019-3-8 16:17:2.635263,2019-3-8 16:17:2.728192,192.168.2.238,192.168.2.158,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,92.0,false,false
812,2019-3-8 16:17:3.635515,2019-3-8 16:17:3.697472,192.168.2.238,192.168.2.167,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,61.0,false,false
811,2019-3-8 16:17:3.635489,2019-3-8 16:17:3.701966,192.168.2.238,192.168.2.166,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,66.0,false,false
814,2019-3-8 16:17:3.635558,2019-3-8 16:17:3.713310,192.168.2.238,192.168.2.176,3610,3610,60,64,10:81:00:f6:0e:f0:01:02:87:01:62:01:d2:00,10:81:00:f6:02:87:01:0e:f0:01:72:01:d2:08:00:08:e6:5a:00:00:00:00,eth:ethertype:ip:udp:data,77.0,false,false
813,2019-3-8 16:17:3.635533,2019-3-8 16:17:3.715758,192.168.2.238,192.168.2.158,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,80.0,false,false
818,2019-3-8 16:17:4.635823,2019-3-8 16:17:4.703569,192.168.2.238,192.168.2.176,3610,3610,60,64,10:81:00:f6:0e:f0:01:02:87:01:62:01:d2:00,10:81:00:f6:02:87:01:0e:f0:01:72:01:d2:08:00:08:e6:5a:00:00:00:00,eth:ethertype:ip:udp:data,67.0,false,false
817,2019-3-8 16:17:4.635787,2019-3-8 16:17:4.704145,192.168.2.238,192.168.2.158,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,68.0,false,false
